Проект,Категорії,Ціна,Заявки
Создать категории на сайте. (1-2месяца объем работ),Наполнение сайтов,$200,19
Продвижение статей в топ гугла и яндекса.,Поисковые системы (SEO),$1500,7
Установка и SEO настройка WordPress 100 доменах,Поисковые системы (SEO),,10
Большая модернизация сайта,Веб-программирование,$600,4
Монтаж видео для iOS приложений,Видеомонтаж,$200,исполнитель
Сервис по отбору персонала на основе тестирования (api c hh.ru etc.),Веб-программирование,,1
Создание лендинг-пейдж,Дизайн сайтов,,3
Адаптивная верстка интернет-магазина + установка Opencart,Интернет-магазины,$130,нет
Flickr.com API скрипт,,,нет
Сдизайнить презентацию услух компании,Дизайн сайтов,,1
Дизайн лендинга для IT продукта,Дизайн сайтов,,3
Дизайн и верстка сайта,"Дизайн сайтов, HTML-верстка",$18,2
Требуется CRM,Веб-программирование,,нет
Прикладная программа для работы с изображениями,Прикладное ПО,,нет
Исправить метатеги (H1),Веб-программирование,,1
Сделать баннер,Баннеры,$15,8
Мессенджер,Веб-программирование,,1
Небольшой сайт по услугам,Сайты «под ключ»,,3
3D visualisation,3D-графика,,5
Необходимо разработать логотип,Знаки/Логотипы,,9
Создать категории на сайте. (1-2месяца объем работ),Наполнение сайтов,$200,19
Продвижение статей в топ гугла и яндекса.,Поисковые системы (SEO),$1500,7
Установка и SEO настройка WordPress 100 доменах,Поисковые системы (SEO),,10
Большая модернизация сайта,Веб-программирование,$600,4
Монтаж видео для iOS приложений,Видеомонтаж,$200,исполнитель
Сервис по отбору персонала на основе тестирования (api c hh.ru etc.),Веб-программирование,,1
Создание лендинг-пейдж,Дизайн сайтов,,3
Адаптивная верстка интернет-магазина + установка Opencart,Интернет-магазины,$130,нет
Flickr.com API скрипт,,,нет
Сдизайнить презентацию услух компании,Дизайн сайтов,,1
Дизайн лендинга для IT продукта,Дизайн сайтов,,3
Дизайн и верстка сайта,"Дизайн сайтов, HTML-верстка",$18,2
Требуется CRM,Веб-программирование,,нет
Прикладная программа для работы с изображениями,Прикладное ПО,,нет
Исправить метатеги (H1),Веб-программирование,,1
Сделать баннер,Баннеры,$15,8
Мессенджер,Веб-программирование,,1
Небольшой сайт по услугам,Сайты «под ключ»,,3
3D visualisation,3D-графика,,5
Необходимо разработать логотип,Знаки/Логотипы,,9
Создать категории на сайте. (1-2месяца объем работ),Наполнение сайтов,$200,19
Продвижение статей в топ гугла и яндекса.,Поисковые системы (SEO),$1500,7
Установка и SEO настройка WordPress 100 доменах,Поисковые системы (SEO),,10
Большая модернизация сайта,Веб-программирование,$600,4
Монтаж видео для iOS приложений,Видеомонтаж,$200,исполнитель
Сервис по отбору персонала на основе тестирования (api c hh.ru etc.),Веб-программирование,,1
Создание лендинг-пейдж,Дизайн сайтов,,3
Адаптивная верстка интернет-магазина + установка Opencart,Интернет-магазины,$130,нет
Flickr.com API скрипт,,,нет
Сдизайнить презентацию услух компании,Дизайн сайтов,,1
Дизайн лендинга для IT продукта,Дизайн сайтов,,3
Дизайн и верстка сайта,"Дизайн сайтов, HTML-верстка",$18,2
Требуется CRM,Веб-программирование,,нет
Прикладная программа для работы с изображениями,Прикладное ПО,,нет
Исправить метатеги (H1),Веб-программирование,,1
Сделать баннер,Баннеры,$15,8
Мессенджер,Веб-программирование,,1
Небольшой сайт по услугам,Сайты «под ключ»,,3
3D visualisation,3D-графика,,5
Необходимо разработать логотип,Знаки/Логотипы,,9
Создать категории на сайте. (1-2месяца объем работ),Наполнение сайтов,$200,19
Продвижение статей в топ гугла и яндекса.,Поисковые системы (SEO),$1500,7
Установка и SEO настройка WordPress 100 доменах,Поисковые системы (SEO),,10
Большая модернизация сайта,Веб-программирование,$600,4
Монтаж видео для iOS приложений,Видеомонтаж,$200,исполнитель
Сервис по отбору персонала на основе тестирования (api c hh.ru etc.),Веб-программирование,,1
Создание лендинг-пейдж,Дизайн сайтов,,3
Адаптивная верстка интернет-магазина + установка Opencart,Интернет-магазины,$130,нет
Flickr.com API скрипт,,,нет
Сдизайнить презентацию услух компании,Дизайн сайтов,,1
Дизайн лендинга для IT продукта,Дизайн сайтов,,3
Дизайн и верстка сайта,"Дизайн сайтов, HTML-верстка",$18,2
Требуется CRM,Веб-программирование,,нет
Прикладная программа для работы с изображениями,Прикладное ПО,,нет
Исправить метатеги (H1),Веб-программирование,,1
Сделать баннер,Баннеры,$15,8
Мессенджер,Веб-программирование,,1
Небольшой сайт по услугам,Сайты «под ключ»,,3
3D visualisation,3D-графика,,5
Необходимо разработать логотип,Знаки/Логотипы,,9
Создать категории на сайте. (1-2месяца объем работ),Наполнение сайтов,$200,19
Продвижение статей в топ гугла и яндекса.,Поисковые системы (SEO),$1500,7
Установка и SEO настройка WordPress 100 доменах,Поисковые системы (SEO),,10
Большая модернизация сайта,Веб-программирование,$600,4
Монтаж видео для iOS приложений,Видеомонтаж,$200,исполнитель
Сервис по отбору персонала на основе тестирования (api c hh.ru etc.),Веб-программирование,,1
Создание лендинг-пейдж,Дизайн сайтов,,3
Адаптивная верстка интернет-магазина + установка Opencart,Интернет-магазины,$130,нет
Flickr.com API скрипт,,,нет
Сдизайнить презентацию услух компании,Дизайн сайтов,,1
Дизайн лендинга для IT продукта,Дизайн сайтов,,3
Дизайн и верстка сайта,"Дизайн сайтов, HTML-верстка",$18,2
Требуется CRM,Веб-программирование,,нет
Прикладная программа для работы с изображениями,Прикладное ПО,,нет
Исправить метатеги (H1),Веб-программирование,,1
Сделать баннер,Баннеры,$15,8
Мессенджер,Веб-программирование,,1
Небольшой сайт по услугам,Сайты «под ключ»,,3
3D visualisation,3D-графика,,5
Необходимо разработать логотип,Знаки/Логотипы,,9
